ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
CCR4,-54.4,-4.6,-8.2,-56.7,-16,-59.3,-64.2,-56.4,-26,-39.8
DDX5,1699.7,2181.6,1783.8,1660.4,1927.9,2076.9,3460.2,1847.4,2581.3,2190.9
BTG1,2029,1760.9,1374.6,1341.6,1630.2,1487.7,1601.6,1475.2,1170.8,1288.6
ZNF162,842.8,865.2,877,763.3,779,780.6,876.8,844.8,660.7,766.8
IMAGE145052,859,870.6,735.3,764.1,807.9,926.3,915.8,879.8,990.8,884.7
DNAJA1,889.4,1132.1,906.8,951.4,969.8,1414.2,1470.9,854.2,1511.5,1029.9
SLC21A2,432,281.1,580.5,555.7,654.5,399.3,615.6,406.8,203.9,556.5
KIAA0204,193,271.1,245,253.2,232,261.6,330.5,212.3,288,317.9
UBL1,659.2,707.3,537.9,646.7,695.2,708.2,841.9,712.4,745.7,633.1
PDGFRL,50.4,53.2,24.3,42.4,19.3,110.3,141.8,98,85.3,17.4
BIRC5,46.6,114.7,208.6,72.8,139.3,54.9,106.3,109.8,98.8,114.9
ETF1,196,237.3,318.8,368.2,288,298.3,340.8,342.4,310,346.2
GRLF1,92.2,75.5,68.5,39,80.8,10,27.2,56.4,38,17.4
H1F2,-17,-12.8,-57.8,-17.3,4,-2.1,-8.8,26.9,-52.7,-36
SMARCD3,119,124,198.9,213.6,248.5,230,189.1,219.4,149.2,189.2
ZNF177,82,61,116.2,46,75.1,87.1,46.2,69.7,43.3,110.3
ALDH6,185,164.9,101.8,269.9,63.7,174,182.5,684.3,160.3,130
EZFIT,389.8,364.2,384.6,357,368.9,338.3,242.2,251.5,365.5,284.3
ZNF80,3,-3,21.8,19.3,36.7,12,-3,-10,-5.7,-4.3
EXTL3,453.1,398.5,499.3,357,434.3,378.7,355.5,506.5,441.4,439.5
ISG20,1363.1,948.7,474.3,490.9,558.9,996.6,505,631.6,498.7,757.7
ELAVL4,5.6,-20.1,-3,21.8,6,9,40,21.8,12.5,4.7
NK4,2376.8,3662.3,1228.5,1344.7,1359.4,4969.8,1265.5,1613.3,1718.4,1310.9
H105E3,294.2,278,271.2,404,423,303.9,341.6,252.3,354.7,368.5
TCF4,-38.9,-15.5,-15.9,-82.9,-120.7,-97.2,-16.1,-18.2,-57.7,-29.7
ST16,39,16.8,30.5,8.2,-19,9,3,42.4,-10.7,-2.3
TARS,353.4,348,311.8,296.7,375.9,417.7,340.8,264.2,311,238.7
BRE,333.4,219.6,340.9,320.6,320.9,189,245.5,299,195.3,190
LTA4H,1927.6,2859.9,2456.4,1686.2,4199.6,2726,2219.2,2215.8,2528.4,2653.5
MFAP4,1134,853,2137.5,954.8,1162.9,965.1,2027.4,1000.3,1434.1,2130.9
HSPD1,1781.7,981.8,1598,1851.7,1405.3,1677.7,3010,1655.4,2105.7,1908.3
RAB2,524.7,615.7,443.8,521.4,590.4,535.9,575.6,520.8,627.3,500.1
PRP4,123,127,140.8,75.1,75.1,128.8,148.4,46,140.8,145.1
CAV2,813,726.8,934.9,941.1,993.5,1020.6,1447.9,1016.2,1456.8,1361.3
MAT1A,-17,68.5,-42.4,9,14.4,-0.4,179.6,122.6,11.6,-58.5
HM74,54.9,202,273.8,265,316.1,128.8,390.3,230.6,247.4,294
G17,403.4,351.1,353.5,240.1,375.2,199.7,229.7,346.1,309,269.6
MAAT1,784,635.9,796.6,581.6,595.3,655.5,538.4,630,765.4,618.3
PTB,1180.2,1231.2,1111.9,1152.5,1072.1,1155.1,1022.1,1125.7,1173.6,1118.9
DMD,17.7,6.4,-17.6,52,0.4,26,13.7,39.9,-26.8,35
CHI3L1,537.8,1448.7,250,485.6,242,392.7,233,198.4,209,173
NFRKB,80,105.3,68.5,113.5,108.8,65.9,88,66.6,55.9,80
CLCN3,34.3,70.2,17.4,109.8,65.9,119.2,123.6,72,64.1,36
CDC6,10.8,0.8,7,29.4,-11,1.3,5.4,-23.3,-7.8,26
EDN2,73.8,50.2,65.9,138.2,113.8,153.3,206.7,258.2,177.8,172
NCL,3114.5,2796.5,3089.2,2652.8,2656,3332.4,2469.8,2422,3046,3520.5
HNRPA1,4645.2,4519.5,3743.8,3609.7,4027.7,4639.6,4603.4,4259.7,4693.7,4691.9
ARD1,405.1,363.4,436.6,413.7,388.5,408.1,442.6,277.3,398.6,383
ATP4B,23.9,6.4,42,-24.2,26,26,12.5,14,-11.5,-10
B7,336.1,386,239,318.8,178.3,233.4,178.7,171.2,402.8,259.3
CACNB2,-2.2,-18.2,-7.4,-4.6,12.1,-9,5.4,-9.3,-14.4,-32.8
TNFRSF7,650.1,355.7,147.2,61.6,125,198.3,89.8,366.5,51.1,39
MGB1,68.5,68.5,80,80.8,102.5,72,42,85.8,95.3,58
NP220,644.7,522.4,497.8,472.4,466.8,483.4,608.4,505.8,639.6,562.2
HUMRTVLH3,433.5,416.9,507.6,363.8,478,121.6,285.7,467.8,473.3,431.2
TTPA,6.4,49.4,15,26,53.7,30,26,-6.5,34,33
ECGF1,670.9,2204.3,366.9,923.9,1019.9,1663.5,484.3,646.7,272,460.5
AFP,-24.3,-22.1,-15.9,-76.5,-6.5,-47.1,-21,-5.1,-6.2,3
TUBA3,1815.3,2551.4,2556.1,2589.2,2283.4,2216,3486.9,2348.5,3209.3,2145.5
KIAA0040,56.3,58,108.9,29.4,73.6,67.6,217.8,123.5,152.8,96.9
KIAA0189,-14,-57.4,-15.9,-12.8,-33,-4,-18.6,-49.2,-38.5,-13.4
HSPG2,1469.3,1288.3,2247.1,1158.7,1333.6,897,1284.2,2156.6,1213.1,1345.9
SCN2A2,-8.1,11,8.3,6,-3.7,33.2,-12.4,7,13.4,-12.5
UGT2B15,93.8,32,56.4,-9.2,37.8,55.6,45,52,69.4,45
P3,303.5,329.6,294.2,172,284.3,238.7,209,260.8,211,301
TRIP10,366.5,428.7,870.4,641.6,518.2,467,657.1,677.1,679.1,677.6
ITGA1,400.8,264,467.9,518.6,355.7,335.6,457.9,320.8,432.9,297
INGAP,-2.2,-14.6,12,-28.5,-28,-19.2,-29.2,5,18.9,4.7
ACADVL,1402.4,1091.2,1238,1225,1116.8,1006.9,1151.8,1183.2,1236.6,1072.2
COX6B,3679.8,2437.8,3949,3899.9,3187.8,3326.8,3085.8,3707.8,4130.2,3989.3
KIAA0107,649.2,523.1,597.4,588.8,487.5,626.2,748.8,509.2,671.2,736.1
IFNW1,-0.8,53.2,-5.6,19.3,40,10,-19.8,11,54.8,30.8
RPP30,152.8,207.7,188.1,206,151.5,195.6,212.7,175.1,216,150.5
GUCA2B,-15,-17.3,31.2,28.6,30,-2.1,32,19.3,20.3,52
GP1BB,4.7,66.8,-21.8,16.8,34.3,5.6,32,79,44.1,-40.7
CHRNA2,45.8,18.5,52.6,4.5,8,90.2,20.2,19.3,-25.2,39
HMOX2,401.7,361.8,420.6,276.5,329.6,325.9,274.2,346.1,381.3,408.1
TGFBR3,141,276.5,320.5,182,548.4,269,410.4,362.1,514.1,327
DDXL,422.2,482.3,389.7,360.8,243,476.1,383.8,341.4,278,277
RPS11,11366.6,11004,10875,11790.2,11295.9,11776.6,12948.3,11176.4,13874.2,13061.6
HRK,67.6,26,8.3,21.8,11.3,32,6.6,103.8,52,14
PSMD11,413.2,450.4,496.1,424.3,452.2,480.6,507.2,430.5,487.4,501.7
PFC,37.8,43,11,44.1,21.7,31,108,35.5,31.2,18.1
AMPH,-46.6,-44.6,6.3,-24.2,4,27,-5.3,-3.7,3.9,-7.5
NCBP2,131,91,126.3,133.5,98.9,185,187.2,64.1,153.6,100.7
BDH,231.9,194,137.5,112.5,159.1,135.4,103,80.1,177.8,89.1
PLCB4,39,18.5,105.5,19.3,59.7,16,54.1,21,95.3,5.6
KIAA0138,244.8,261.2,218.8,148.4,147.7,147.7,181.5,68.1,82.6,107.1
TFPI2,91.3,73.8,-22.6,75.1,100.7,66.8,126.8,35.5,348.8,93.6
NR1I3,0,14,242,30.3,174,158,-8.8,11,85.3,233.4
TTC1,1780,1412.4,1762.8,1566.1,1470.2,1569.5,1226.2,1690.1,1808.7,1619.4
MAPT,769,544.9,849.9,613.9,584.8,598.8,450.6,990.3,658,798.3
ASM3A,132,108,66.8,235.4,108.8,102.2,198.9,126.3,72.8,120.8
MATN2,135,107.1,147.2,110.7,113.8,197,191.8,209.6,204.9,149.4
TRB@,76.4,130,82,84.4,75.1,99.7,37.8,84.6,150.1,80
TTR,21,63,140.8,102.4,144,121.6,74.6,129.1,12.5,125.4
PRKCN,36.7,63,-11.7,57,12.9,21,59,72,7.3,-10
GNAT1,20.2,12,-12.5,17.7,-36,19.3,-0.6,-16.4,15.1,42.4
DOC2B,93,71.1,154.8,118.9,204.2,160,96.2,142.9,67.6,115.7
MYBPC1,73.8,24.6,78.2,33.2,42,47,54.9,28.6,74.3,50
GCS1,256.2,312.9,194.4,258.2,291.4,177,269.6,226.8,162.6,308
DEFB1,110.5,188,88,110.7,87.1,183,113.8,136.5,72,108
PLXNB3,29.4,13,55.1,45,79,3.9,80.8,26.9,54.8,3.9
NBR,473.3,394.1,605.9,506.8,413.7,446.2,331.3,511.3,596.4,635.2
CTPS,-4.3,46.8,62.7,8.2,-7.2,61,65,16,28.2,72.8
PDGFRB,510,502.1,950.7,576.7,623.6,490.6,659.3,789.7,566.1,640.2
TAF2H,914.4,919.6,580.5,895,772.4,923.2,710.5,797.3,558.5,693.8
SHH,87,121,52.6,115.3,67.6,118,72,71.2,131.1,111.1
PRKCQ,156.2,250.7,136.5,168,140.3,213.6,198,127.2,233,225.6
TC10,605.3,925.8,598.3,587.2,692.7,551.6,389,680.3,520.1,443.2
RNF2,43,56.4,59.3,44.1,53.7,30,33.2,-9.3,16.7,63
APOC4,97.2,26.9,-67.4,-15.5,43,-5,57,131.1,-38.5,6.4
LDHC,23.9,4.7,5.7,25.2,-7.9,-14.6,41,26.9,43.3,12
EEF1G,6658.2,6129.7,6906,6056.2,5135.5,4908,5962.9,5483.8,5930,5998.6
SSB,620.2,680.3,580.5,567.8,523.1,726.4,724.8,634,805.5,609.8
SLC12A5,7.3,-5.3,24.3,3,-0.4,-4,9,12,-31.8,25.3
UBE2D3,793,836.1,662.4,852.3,865.8,930.2,840.5,690.6,877.4,932
CNP,731,810.2,978.8,846.1,792.9,801.7,671,784.7,840.9,899.6
TSFM,310.8,411,416.6,390.6,351.5,470.6,390.9,387.8,345.6,361.2
SNRPB,1650.5,2046,1606.7,1787.5,2027.3,2085.7,1567.2,1820.1,1661.3,1798.1
RGS19,554.4,719.7,529.6,704.7,652.1,716.3,562,472,421.6,611.7
TRD@,453.1,156.9,106.8,26,92,214.5,157.1,89,224,137
CDC16,523.1,446.3,365.4,394.1,274.2,492.5,438.2,404.7,444.9,447
BM-002,136,118,72.8,109.8,100.7,142.9,116.3,85.8,175.9,127.2
PIPPIN,83,82.4,187.2,184,128,118,138.6,195.1,151,191.8
NR2C2,35.5,-1.5,52.6,6,52,120.4,52,114.4,90.7,68.1
CSN10,41,88,112.5,62.7,24.6,53.4,56.3,48,84.4,37
SLC6A11,36.7,22.4,5,26,21.7,67.6,66.8,7.7,1.9,-1.7
DDXBP1,400,480.6,361.4,332.5,398.9,352.4,420.5,328.3,404.4,358.2
FBN2,84,58,55.8,84.4,73.6,72,101.3,66.6,55.9,108.8
ACLY,791,849.9,651,871.6,716.5,820.8,826.8,789.7,650.1,701.9
UBE2I,414.8,557.8,498.5,493.5,665.1,602.8,443.2,603.3,354.7,452.2
ACY1,282.5,296.3,329.4,366,366.1,417.7,342.4,318.9,303,351.7
ABCC2,27.7,45,83,40.7,12.9,42,20.2,32.9,13.4,15
ATF3,172.9,216.2,998.3,1113.3,996.2,190.7,1213.5,333,908.8,194.4
PLA2G7,120,418.2,37.8,245.5,223,131.1,79.9,72.9,3,27.2
SLC9A3,-15,3.9,41.2,-20.1,26,-5,0.6,-36,-66.7,68.1
P5,1789.9,1028,1273.3,1417.3,1159.3,1535,1434.2,1504.7,1222.8,1385.8
TFRC,1437.6,1948.9,987.3,2069.9,1616,1512.7,2011.7,1447.9,1583.3,1431.3
SDS,46.6,47.6,-5.6,312.2,53.7,34.3,75.5,61.4,17.4,33
GPR3,335.2,242,279.2,190,358.5,259.9,191.8,263.3,306,281.6
INPP5B,44,26,60.4,16,67.6,15,62,12,65.9,30.8
SP2,292.1,332.1,451.5,327.9,359.2,280,258.2,285.5,258.8,375.8
GCDH,130,169.4,98,129.1,171.7,144.9,117.2,106.3,225,184.1
LGALS7,-43.7,-54.6,-89.3,25.2,-84.9,-38.2,-29.2,10,-60.2,-83.4
CDH2,51.2,27.7,99.2,43.3,32,-6,6.6,37.2,10.8,-2.3
GPA33,29.4,152.6,321.4,50,170.6,93.6,163.6,155.8,321.1,147.2
EVX1,420.8,265.8,331.2,268.3,381.2,368.3,259.1,225.9,240,316
GALNT1,324.3,294.2,185.3,336.1,199.8,265,309.9,319.8,259.7,193.6
TYK2,218,297.3,273,351.8,288,311.4,402.6,249.8,277,238.7
SERPINF1,2895.7,2118.3,2112,2560,958.9,1788.7,2741.8,3554.4,1305.9,1378.8
MYO1E,311.8,416.2,312.9,380.8,292.3,386.8,333.7,243.8,295,253.5
KIAA0057,223,252.6,374.1,359.2,268.7,186,359.6,232.5,301,343.4
IL10RA,310.8,644.6,200.7,345.3,371,470.6,214.9,493.7,150.1,208.1
RPS14,-58.3,-81.5,-80.1,-40.1,-67.1,-86.8,-23.7,-137,-36.8,-51.9
MYL1,194,188,264,257.4,217.6,155.2,261.6,322.6,257.1,225.6
FLT3LG,105,135.2,105.5,50,145.9,83.5,126.8,93,120,57
GGTLA1,659.2,432.6,583,508.2,421,504.1,330.5,557.1,283,400.2
TRAP1,384.8,354.2,284.5,362.2,445.7,356.8,309.2,457.8,269,292
TUBB5,313.9,444.4,511.4,568.6,461.7,355.9,506.4,658.7,408.5,407.4
SP100,34.3,47.6,36.7,22.7,58.3,66.8,3,76.4,25.3,72
GNA15,357.2,523.1,434.2,635,548.4,549.3,409.1,553.6,447.9,354.6
PRKAR1B,191,243,279.2,216.4,232,230,219.3,300,92.5,127.2
KIAA0187,225.2,327.9,210.2,222.1,204.2,234.3,273.4,357.7,174.9,204.2
CTGF,-7.5,-3.8,-1,-3.8,-24,-23,-43.1,7,41.6,3
CD83,130,464.2,336.5,480.3,990.1,486.1,795.2,283.9,753.4,387.3
ARG2,17.7,20.2,7,29.4,9,45,43,33.8,-0.3,27.2
PPIL2,94.7,159.1,268.5,170,158,105.5,137.5,131.1,246.5,170
ANK1,36.7,-7.7,15,-8.4,42,-42.7,54.1,29.4,27.5,50
IFITM2,5064.2,3213.6,5870.4,5489.9,4010.6,4745.7,5045.9,4361.9,4449.4,5148.2
CST,-57.3,9,-10,-93.4,21.7,-64.9,-23.7,-5.8,-76.4,-52.9
PLCB2,1787.4,1790.6,2014,1505.3,1773.3,1455.2,1130.6,1953,1267.8,1557.5
PTPN9,108,112.2,119.8,132.3,113,145.9,135.4,104.7,92.5,96.9
COL6A2,-6.8,-38.9,-16.8,11.3,-24,31,87.1,-44.4,27.5,-37.9
CSH1,72.9,27.7,85,74.3,63.7,40.5,43,52,11.6,40.7
CREM,93,104.4,159.1,327,150.5,164,421.1,392.7,276,131.2
IL2,-66,-86,-49.6,32,-95.5,-39.3,-55.4,-36,-5.7,-17.6
MCAM,820,841.5,1692.4,1062.6,918.8,1284.7,1238.9,1237.2,1236.6,949.4
CART,69.4,51.1,86,35.5,98,63.7,11.3,97,73.6,6.4
NFX1,62.7,63,78.2,58.1,66.8,62.3,88.9,11,65.9,71.2
KIAA0513,638.3,483.2,423,368.2,435.7,461.5,296.6,408.2,411,375.1
SOX20,-8620.3,-8630.7,-8613,-8610.7,-8631.6,-8636.9,-8622.1,-8609.5,-8606.4,-8608.3
FUT2,400.8,354.2,324.1,372,286.2,229.1,170.2,344.2,304,275.1
GSTM3,166,8.1,239,85.3,93,119.2,208.2,144,172.9,66.6
ZFP36,1673.5,1782.4,8843.6,7521.3,7305.7,1735.9,9069.4,3536.3,6922.6,3935.9
PITPNB,59.3,79,72.8,89,48,128.8,127.6,71.2,122,94.7
SIAHBP1,452.3,575,513.7,531.9,559.7,533,421.7,369.2,358,516.5
MADD,525.5,604,532.6,466.3,567,560.4,439.4,490.3,521.8,510.2
HADHB,597.4,776.5,529.6,879.8,783.6,709,962.1,653.9,575.6,625
H2AFP,-34.3,-4.6,27.5,-4.6,11.3,9,-5.3,15,25.3,-2.3
FGFR3,172.9,103.5,153.7,113.5,161.4,140.8,115.5,51,89.8,80
DTYMK,102,114.7,108.9,135.8,56.2,138.6,124.4,118.9,79,101.6
EIF2B2,402.5,327.9,478.8,348,368.2,402.2,431.8,415.1,322.7,398.8
UPK1A,174,125,314.9,293.8,129,201.1,124.4,251.5,264.1,231.7
LMNA,1034.7,966.2,1528.3,1213.9,1474.3,840,828.9,1272.5,1137.8,820
ORC2L,56.3,52.6,86,70,88,69.4,93.5,59.7,78.2,153.7
IL7R,2645.4,2454.3,999.1,2356.2,1765.8,2780.7,1028.4,1385.7,1337.1,1075.9
PSG7,104,16,109.8,52,69.4,45,56.3,56.4,117.1,75.9
ZNF267,193,422.8,166.5,376.5,240,455.2,335.3,184.7,391.2,198.9
TEP1,30.3,8.1,21.8,-7.7,-12,-23,29.6,16.8,30.5,24.6
MPP3,119,86.9,169.7,115.3,119,138.6,138.6,118,91.6,175.7
CRIP1,2257.6,2235.3,2093.9,1488.6,1894.7,2363.3,1722.1,2416.1,2910.2,2125.8
TAX1BP1,1269.5,1483.2,1386.4,1207.7,1297.7,1202.4,1501.5,1449.3,1838,1275.3
EBP,651,669,622,624.2,697.6,765.9,751.8,684.3,933.1,844.1
PSMC6,438.8,331.2,328.5,477.7,447,529.5,578.8,475.3,559.5,529.7
SERPINE1,278.8,330.4,464.3,921.8,783.6,252.3,637.4,162.7,437.8,388.8
H3F3B,4939.2,4695.3,5410.7,5232.8,5375.8,5363.1,5607.2,6110,6513,7474.8
DGCR2,327.9,245.9,469.7,366.8,528,381.7,474.3,463.7,277,478.2
ACE,243,284.2,170.8,296.7,337.3,245.5,205.1,287.2,250.9,238.7
NFATC4,119,206.9,182.5,61.6,110.5,196.3,114.7,222.1,49.4,211.3
SLC11A1,138,207.7,351.9,303.5,388.5,59.7,232.2,326.4,108,373.6
IGFBP5,40,33.2,41.2,8.2,27,1.3,10.2,40.7,25.3,16
ART3,-6.2,-6.1,17.4,18.5,-4.4,-23,-36,25.2,39,28.4
CDSN,271.4,359.5,253,283.9,305.1,242.1,215.6,302,299,338.9
IFI16,608.8,740.1,410.3,498.4,401.3,788.8,515.2,510.6,506.4,386.6
SALL1,25.3,69.4,72,23.5,63.7,74.3,52,86.9,5.6,11
PNLIPRP1,144.9,119,128.2,161,116.3,118,118,118.9,148.4,96.9
IL17,81,79,90,76.7,81.7,80.8,58,74.6,88.9,76.7
TNFRSF6,277.9,374.9,155.8,385.7,334.4,317.9,411,357.7,331.7,285.2
ADH7,-3,31.1,18.1,16.8,-27,16.8,-4.2,7.7,6.4,34
MYBL2,85,58,96,168,70.2,133.2,79,96,92.5,46
CD1C,113.8,266.5,161.2,187,252.2,317,118.8,214.9,108.9,111.8
H2AFA,27.7,-12.8,23.5,6.8,-5.8,14,32,30.3,-2.5,-22.6
H4FH,105,43,39,78.2,102.5,70.2,65,72,27.5,71.2
NOTCH3,278.8,180,292.1,208.8,187.9,122.8,199.8,226.8,155.4,131.2
KCNAB1,145.8,60,105.5,85.3,53.7,148.7,107.2,63.2,75.9,132.3
TCL6,118,17.7,75.9,54.1,59.7,24.3,-55.4,52.6,92.5,-45.4
ADAM17,76.4,211.9,184.4,311.2,368.9,247.2,265.8,320.8,200.7,70.4
BCGF1,-26.8,12,29.8,21,-19,-7,-7.7,25.2,30.5,39
IL5RA,17.7,22.4,-3.9,-39.1,7,-10.9,22,-11.8,-15.9,22.4
CHRND,316,339.6,220.4,338.9,193.6,354.2,233,337.7,236,261.2
DDOST,1609.5,1219.5,1066.1,1217,1160.8,1366.2,1063.8,1075.6,1265.7,1380.9
FHIT,89.7,3,27.5,25.2,52,20.2,37.8,0.3,26,25.3
PSMC5,1006.9,1001.9,928.3,781.9,973.2,939.4,839.2,911.4,807.2,776.7
BZRP,2005,2079.7,2210,2129,2223,2144.5,1461.3,1744.7,2014.2,2076
ERCC6,26.9,47.6,53.2,24.3,22.4,82.6,40,29.4,26.8,56.4
D6S52E,652.8,722.3,616.9,641.6,697.6,558.8,545.6,576.7,669.5,797.4
HTR2B,76.4,49.4,47,39,46,47,58,80.1,12.5,34
ACTR1A,394.9,345.5,431.8,369.8,342.2,411.8,363.7,414.5,455.8,370.7
PITX1,42,-11.8,-14.2,6.8,-38.3,5.6,-23.7,-83.5,16,30.8
PCDHGB4,88.8,133.5,98,117.1,72,98.8,39,85.8,99.7,80
CYP1A1,16,46.8,9,34.3,17.7,25.2,-10,21,39.9,21.7
DHODH,110.5,125,103,52,71.1,108,99.7,74.6,161.4,80
PFKFB3,131,124,-30.5,58.1,150.5,90.2,98,149.4,-37.7,101.6
TC21,72,66.8,39,81.7,40,78.2,77.2,31.1,53.1,95.8
STAT2,42,89,56.4,72,117.2,139.7,62,57.9,18.9,68.9
BPGM,94.7,102.5,58.1,125.7,108.8,121.6,118,100.5,119,114.9
ANGPT1,717,557.8,945.1,543,480.6,579.6,831,598,1002.3,643.2
ARL4,310.8,256.4,415,247.2,371,242.1,386.4,267.5,378.8,236.9
MPP1,378.8,491,472.5,797.3,613.9,487.9,467.9,408.9,400.3,378.7
IL1R2,79,70.2,152.6,338,92,93.6,231.3,159.9,155.4,158
IRF2,284.3,395.8,212.8,214.5,259.5,348.9,218.6,178.3,192.1,282.5
ATP6F,1176.7,971.4,1211.3,1628.3,1843.8,1426.6,1018.1,1356.8,1050.5,1351.5
XPA,98,119,127.2,54.1,117.2,126.4,167.4,108.9,139.7,138.2
GPRK7,7521,4708.9,3601.7,1967.6,2272.9,2880.5,2456.1,6126.7,3010,3534.8
HNRPH1,923,866,838.7,601,661,688.9,983.8,897.8,668.6,982.5
CCRL2,117.2,192.4,318.8,316,384.4,259.9,344,191.7,265,317
CD81,4268.7,4477.5,5258.3,4811.5,5930,4432.4,4899.6,3879.4,4241.8,5447.9
KIAA0117,137,122,174.9,59.3,81.7,127.6,202.4,180.4,69.4,121.7
SLC14A2,318.8,215.4,274.7,255.7,302.5,262.5,164.6,248.9,339,276
GRB14,54.9,-77.1,22.7,-4.6,-11,23.5,78.1,10,53.7,40.7
CSF1,705.4,422.1,863,539.5,709.9,617.2,399.4,746,753.4,774.9
MYF5,-4.3,36.7,12,-3.8,-3,3,-8.8,21,-1.4,-22.6
TNFAIP1,385.6,425.4,642.2,468.9,541,504.8,680.5,500.4,560.4,690.8
MYO6,58.1,20.2,-5.6,32,22.4,35.5,-14.9,-19.2,-11.5,21
CRYGD,91.3,37.8,83,51,102.5,72,59,223,82.6,32
UGB,10800.8,8399.6,5298.3,12778.1,315.3,3018.4,2547.4,3767.2,15886.6,9274.2
KCNC3,602.7,536.9,330.3,340.7,466,508.3,386.4,685.1,519.2,306
SLC2A2,41,7.3,41.2,16.8,16,52,27.2,33.8,85.3,21.7
PRPS1,256.2,279.6,270.3,218.3,258.6,266,279.6,279,286,198.9
PDHA2,23.1,8.1,24.3,7.5,14.4,-2.1,25,39.9,70.2,5.6
HLXB9,354.2,233.5,200.7,79.9,94,165,94.4,274.9,159.1,101.6
ASNA1,167.1,320.4,60.4,241.1,164.9,326.7,246.4,84.6,220,221.9
PDAP1,113.8,115.5,75.9,106.9,100.7,99.7,86.2,107.2,106.3,39
ZFP47,63.9,99.8,93,63.9,75.1,45,27.2,62.3,98.8,75.1
BCKDHA,-81.3,94,-66,-8.4,150.5,-44.9,19.3,22.7,-109.2,-38.8
DLG4,77.2,40,59.3,23.5,-57.9,26,42,64.1,23.1,23.9
RBM10,182,189,109.8,175,155.2,133.2,214.1,214.1,196.4,202.4
TP53BP1,284.3,190.8,276.5,277.3,221.2,185,232.2,261.6,295,217.7
KIAA0124,79,115.5,108,139.3,63.7,101.3,108,149.4,98,49
RENT1,613.2,540.6,511.4,478.6,571.8,511.1,439.4,505.8,527.8,559.4
PRPS2,1039.5,703.8,264,176,301.6,323.2,248.9,949.9,218,256.4
HDC,234.1,231.6,391.2,113.5,295.7,190,252.3,292,236,340.7
GCN5L2,306.6,215.4,297.3,165,215.8,209.8,270.4,214.1,246.5,250.7
ZNF9,23.1,55.8,60.4,62.7,56.2,33.2,37.8,2.3,42.4,-3.6
PCMT1,346.2,473.7,380.9,419,453,379.5,314.6,428.1,288,366.3
AMPD3,151,275,89,190.9,83.5,149.6,96.2,82.4,140.8,75.9
MIC2,3464.1,3285.6,2807.3,2928.9,2297.9,2462.2,2674.6,3193.9,2671.3,2270.7
ARHB,253.6,296.3,479.7,485.6,411,238.7,396.1,200.9,447,362.6
ELAVL3,157.1,160.3,130,179,223,185,144,177.2,181.5,129.1
KIAA0421,32,16.8,-13.4,20.2,95,3.9,4.2,29.4,-1.9,19.6
KCNA3,-4.3,0.8,-42.4,-41.2,8,6.4,-53.6,46,-51.8,-24.2
EPS8,190,211.9,368.5,338.9,388.5,277,340.1,343.3,287,435
PDE7A,-8.1,-6.1,-1.7,-15.5,-21,0.4,6.6,-81.3,37,1
HPS,54.1,83.5,72.8,68,87.1,59.7,49.7,123.5,76.7,82
PTP4A2,1828.4,1841.8,2506.6,1923.7,1889.9,1965.9,2187.2,2691.3,1967.4,1829.1
MYOC,-0.8,27.7,37.8,-7.7,47,176,301.3,95,226,90.2
DGS-D,103,65.9,119.8,113.5,95,82.6,69.4,59.7,89.8,79
HCCS,193,233.5,206,222.1,265.9,315.1,232.2,177.2,248.3,307
RPLP1,12396.3,11147.2,13970.8,15232.1,12480.6,12202.4,11286.8,12703.2,14654.4,14461.3
TIE,290.1,292.1,421.4,414.3,398.9,281,332.1,276.5,353,361.2
LCT,0.8,20.2,26,-9.2,-27,-35,-27.8,36.4,-31.8,16.7
TIAL1,83,97,118,83.5,107.1,34.3,86.2,112.5,48.5,27.2
ADCY7,441.8,575.8,467,395.6,510.9,527.4,431.2,417.5,258.8,514.1
YAP65,58.1,101.6,101.8,86.2,108.8,55.6,72,66.6,68.5,48
NAPG,85,83.5,97,114.4,107.1,116.5,123.6,155.8,121,98
SNRPF,526.4,497.7,411,511.6,466.8,570,613.2,412.8,636.9,494.9
FOLH1,1.5,41,-4.8,-70.2,6,3,39,26.9,-27.7,32
D6S51E,186,281.1,160.1,264.2,197.1,252.3,269.6,187.9,232,199.8
IL16,121,82.4,103,71,44,63.7,78.1,45,61.4,69.7
ITM1,454,339.6,254,406.8,332.5,369.2,314.6,353.3,272,336.1
APCS,-33.5,-6.1,16.7,-50.5,3,-34,28.4,-23.3,-17.3,-25.7
SRD5A1,291.1,278,306.6,230.6,249.4,231.7,158.9,276.5,290,203.3
MPL,-22.7,0.8,56.4,16.8,42,-12.8,48.5,46,107.2,19.6
DUSP4,84,138.8,92,98,90,103.8,178.7,138.6,45,68.9
PRNP,320.6,403.9,363,395.6,435.7,441.1,510.1,441.1,415.2,370.7
NFIX,184,189,172.9,157.1,178.3,151.5,121.2,130,26.8,126.3
IFI35,491.7,880.5,343.6,370.5,544.3,1017.8,398.1,472.8,421.6,396.7
SCYA25,100,22.4,60.4,37.8,81.7,57,29.6,55.1,5.6,47
PDE6B,78.1,70.2,65,62.7,48,61,28.4,80.1,82.6,79
PF4,-14,-25.3,50,104.7,-0.4,-6,44,21,81.7,210.2
GABRA1,-0.8,-40.3,-2.3,-50.5,-23,-19.2,1.8,-1,-2.5,-2.3
SOX9,98,52.6,68.5,89,66.8,63.7,173.1,89,55.3,122.6
